"","id","name_prokka","name_eggnog","product_prokka","function_eggnog","kegg_ko"
"350","ACIGNDMM_00350",NA,"","hypothetical protein","Domain of unknown function (DUF4321)",""
"351","ACIGNDMM_00351","hlyU","bigR","Transcriptional activator HlyU","DNA-binding transcription factor activity","ko:K03892,ko:K07721,ko:K22042,ko:K22491"
"352","ACIGNDMM_00352",NA,"","hypothetical protein","efflux transmembrane transporter activity",""
"353","ACIGNDMM_00353","cnrB","","Nickel and cobalt resistance protein CnrB","Biotin-lipoyl like",""
"354","ACIGNDMM_00354",NA,"","hypothetical protein","HlyD family secretion protein",""
"355","ACIGNDMM_00355","mdtB_1","","Multidrug resistance protein MdtB","AcrB/AcrD/AcrF family",""
"356","ACIGNDMM_00356",NA,"ygaP","hypothetical protein","Sulfurtransferase",""
"357","ACIGNDMM_00357","adhA","adhA","putative alcohol dehydrogenase AdhA","Alcohol dehydrogenase GroES-like domain","ko:K13953"
"358","ACIGNDMM_00358",NA,NA,"hypothetical protein",NA,NA
"359","ACIGNDMM_00359",NA,NA,"hypothetical protein",NA,NA
"360","ACIGNDMM_00360",NA,NA,"hypothetical protein",NA,NA
"361","ACIGNDMM_00361",NA,"","hypothetical protein","stress-induced mitochondrial fusion",""
"362","ACIGNDMM_00362","bcp_1","bcp","Putative peroxiredoxin bcp","AhpC/TSA family","ko:K03564"
"363","ACIGNDMM_00363","arc_1","arc","Proteasome-associated ATPase","Proteasomal ATPase OB/ID domain","ko:K13527"
"364","ACIGNDMM_00364","arc_2","arc","Proteasome-associated ATPase","protein catabolic process","ko:K13527"
"365","ACIGNDMM_00365","dop_1","dop","Depupylase","O-methyltransferase activity","ko:K13571,ko:K20814"
"366","ACIGNDMM_00366","pup",NA,"Prokaryotic ubiquitin-like protein Pup",NA,NA
"367","ACIGNDMM_00367","prcB_1","prcB","Proteasome subunit beta","Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine","ko:K03433"
"368","ACIGNDMM_00368","prcA_1","","Proteasome subunit alpha","Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine","ko:K03432"
"369","ACIGNDMM_00369","pafA_1","pafA","Pup--protein ligase","Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine","ko:K13571"
"370","ACIGNDMM_00370","pafA_2","pafA","Pup--protein ligase","Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine","ko:K13571"
"371","ACIGNDMM_00371",NA,NA,"hypothetical protein",NA,NA
"372","ACIGNDMM_00372",NA,NA,"hypothetical protein",NA,NA
"373","ACIGNDMM_00373",NA,"","hypothetical protein","Major Facilitator Superfamily",""
"374","ACIGNDMM_00374",NA,"","hypothetical protein","Sodium/calcium exchanger protein","ko:K07301"
"375","ACIGNDMM_00375",NA,NA,"hypothetical protein",NA,NA
"376","ACIGNDMM_00376",NA,NA,"hypothetical protein",NA,NA
"377","ACIGNDMM_00377",NA,NA,"hypothetical protein",NA,NA
"378","ACIGNDMM_00378","ectD","ectD","Ectoine dioxygenase","COG5285 Protein involved in biosynthesis of mitomycin antibiotics polyketide fumonisin","ko:K10674"
"379","ACIGNDMM_00379","ectC","ectC","L-ectoine synthase","Catalyzes the circularization of gamma-N-acetyl- alpha,gamma-diaminobutyric acid (ADABA) to ectoine (1,4,5,6- tetrahydro-2-methyl-4-pyrimidine carboxylic acid), which is an excellent osmoprotectant","ko:K06720"
"380","ACIGNDMM_00380","ectB","ectB","Diaminobutyrate--2-oxoglutarate transaminase","Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family","ko:K00836"
"381","ACIGNDMM_00381","ectA","ectA","L-2%2C4-diaminobutyric acid acetyltransferase","L-2,4-diaminobutyric acid acetyltransferase","ko:K06718"
"382","ACIGNDMM_00382","proP_1","proP","Proline/betaine transporter","transporter","ko:K03762"
"383","ACIGNDMM_00383",NA,NA,"tRNA-Cys(gca)",NA,NA
"384","ACIGNDMM_00384",NA,NA,"hypothetical protein",NA,NA
"385","ACIGNDMM_00385",NA,NA,"hypothetical protein",NA,NA
"386","ACIGNDMM_00386",NA,NA,"tRNA-Arg(tcg)",NA,NA
"387","ACIGNDMM_00387","mdtB_2","","Multidrug resistance protein MdtB","AcrB/AcrD/AcrF family",""
"388","ACIGNDMM_00388","cnrA","","Nickel and cobalt resistance protein CnrA","AcrB/AcrD/AcrF family",""
"389","ACIGNDMM_00389",NA,"lpoB","hypothetical protein","Peptidoglycan-synthase activator LpoB","ko:K07337,ko:K21008"
"390","ACIGNDMM_00390",NA,"","hypothetical protein","protein conserved in bacteria","ko:K09859"
"391","ACIGNDMM_00391","nrdZ_1","nrdZ","Vitamin B12-dependent ribonucleoside-diphosphate reductase","Catalyzes the reduction of ribonucleotides to deoxyribonucleotides. May function to provide a pool of deoxyribonucleotide precursors for DNA repair during oxygen limitation and or for immediate growth after restoration of oxygen","ko:K00525"
"392","ACIGNDMM_00392","rbr","rbr","Rubrerythrin","Rubrerythrin",""
"393","ACIGNDMM_00393","ilvE_2","","Branched-chain-amino-acid aminotransferase","branched-chain-amino-acid transaminase activity","ko:K00826,ko:K02619"
"394","ACIGNDMM_00394","pabB","pabB","Aminodeoxychorismate synthase component 1","Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia","ko:K01665,ko:K03342,ko:K13503,ko:K13950"
"395","ACIGNDMM_00395",NA,NA,"tRNA-His(gtg)",NA,NA
"396","ACIGNDMM_00396",NA,"","hypothetical protein","chlorophyll binding",""
"397","ACIGNDMM_00397",NA,"","3'3'-cGAMP-specific phosphodiesterase 3","Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology",""
"398","ACIGNDMM_00398",NA,"","hypothetical protein","DNA catabolic process, exonucleolytic",""
"399","ACIGNDMM_00399","ttcA","tilS","tRNA 2-thiocytidine biosynthesis protein TtcA","PP-loop family","ko:K04075,ko:K21947"
"400","ACIGNDMM_00400",NA,"thiS","hypothetical protein","thiamine diphosphate biosynthetic process","ko:K03154"
"401","ACIGNDMM_00401",NA,NA,"hypothetical protein",NA,NA
"402","ACIGNDMM_00402","bchB","","Light-independent protochlorophyllide reductase subunit B","peroxidase activity",""
"403","ACIGNDMM_00403",NA,"MA20_20605","hypothetical protein","HNH nucleases",""
"404","ACIGNDMM_00404","murJ","murJ","putative lipid II flippase MurJ","Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane","ko:K03980"
"405","ACIGNDMM_00405","rpsT","rpsT","30S ribosomal protein S20","Binds directly to 16S ribosomal RNA","ko:K02968"
"406","ACIGNDMM_00406",NA,"holA","hypothetical protein","DNA-directed DNA polymerase activity","ko:K02340"
"407","ACIGNDMM_00407",NA,NA,"hypothetical protein",NA,NA
"408","ACIGNDMM_00408","leuS","leuS","Leucine--tRNA ligase","Leucyl-tRNA synthetase, Domain 2","ko:K01869"
"409","ACIGNDMM_00409",NA,NA,"tRNA-Arg(acg)",NA,NA
"410","ACIGNDMM_00410","xerC_1","","Tyrosine recombinase XerC","Phage integrase family","ko:K04763"
"411","ACIGNDMM_00411",NA,NA,"hypothetical protein",NA,NA
"412","ACIGNDMM_00412",NA,NA,"hypothetical protein",NA,NA
"413","ACIGNDMM_00413",NA,"dnaG","hypothetical protein","Toprim domain","ko:K02316"
"414","ACIGNDMM_00414",NA,"","hypothetical protein","P4 alpha zinc-binding domain protein","ko:K06919"
"415","ACIGNDMM_00415",NA,"","hypothetical protein","Phage plasmid primase P4 family",""
"416","ACIGNDMM_00416",NA,NA,"hypothetical protein",NA,NA
"417","ACIGNDMM_00417",NA,NA,"hypothetical protein",NA,NA
"418","ACIGNDMM_00418",NA,NA,"hypothetical protein",NA,NA
"419","ACIGNDMM_00419",NA,NA,"hypothetical protein",NA,NA
"420","ACIGNDMM_00420",NA,NA,"hypothetical protein",NA,NA
"421","ACIGNDMM_00421",NA,"","hypothetical protein","",""
"422","ACIGNDMM_00422","yhjE","yhjE","Inner membrane metabolite transport protein YhjE","Major facilitator Superfamily",""
"423","ACIGNDMM_00423","nhaH","","Na(+)/H(+) antiporter NhaH","Sodium/hydrogen exchanger family","ko:K03316"
"424","ACIGNDMM_00424",NA,"","hypothetical protein","Associated with various cellular activities","ko:K04748,ko:K09882"
"425","ACIGNDMM_00425",NA,"MA20_05655","putative zinc protease","Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology","ko:K07263"
"426","ACIGNDMM_00426",NA,"","putative zinc protease","Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology","ko:K07263"
"427","ACIGNDMM_00427",NA,"","hypothetical protein","Domain of unknown function (DUF5069)",""
"428","ACIGNDMM_00428",NA,NA,"hypothetical protein",NA,NA
"429","ACIGNDMM_00429",NA,"","hypothetical protein","metal cluster binding","ko:K06940"
"430","ACIGNDMM_00430","hflX","hflX","GTPase HflX","GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis","ko:K03665"
"431","ACIGNDMM_00431",NA,"","hypothetical protein","",""
"432","ACIGNDMM_00432",NA,NA,"hypothetical protein",NA,NA
"433","ACIGNDMM_00433",NA,NA,"hypothetical protein",NA,NA
"434","ACIGNDMM_00434","serS","serS","Serine--tRNA ligase","Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)","ko:K01875"
"435","ACIGNDMM_00435","lppC_1","ybcL","Putative lipoprotein LppC","Phosphatidylethanolamine-binding protein","ko:K06910"
"436","ACIGNDMM_00436",NA,"","putative signaling protein","Putative diguanylate phosphodiesterase","ko:K13924"
"437","ACIGNDMM_00437",NA,NA,"hypothetical protein",NA,NA
"438","ACIGNDMM_00438",NA,"","Putative phosphoribosyl transferase","Phosphoribosyl transferase domain","ko:K07100"
"439","ACIGNDMM_00439",NA,NA,"hypothetical protein",NA,NA
"440","ACIGNDMM_00440",NA,"tnp","hypothetical protein","MULE transposase domain","ko:K07493"
"441","ACIGNDMM_00441","gpsA","gpsA","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus","ko:K00057,ko:K07175"
"442","ACIGNDMM_00442",NA,"","Gamma-butyrobetaine dioxygenase","Protein of unknown function (DUF971)","ko:K03593"
"443","ACIGNDMM_00443","truA","truA","tRNA pseudouridine synthase A","Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs","ko:K06173"
"444","ACIGNDMM_00444",NA,NA,"hypothetical protein",NA,NA
"445","ACIGNDMM_00445","apbC","mrp","Iron-sulfur cluster carrier protein","Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP","ko:K03593"
"446","ACIGNDMM_00446","mrp","mrp","Iron-sulfur cluster carrier protein","Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP","ko:K03593"
"447","ACIGNDMM_00447",NA,NA,"hypothetical protein",NA,NA
"448","ACIGNDMM_00448",NA,"iscX","hypothetical protein","Iron-sulphur cluster assembly",""
"449","ACIGNDMM_00449","fdx_1","fdx","2Fe-2S ferredoxin","2Fe-2S iron-sulfur cluster binding domain","ko:K04755"
"450","ACIGNDMM_00450","dnaK_1","hscA","Chaperone protein DnaK","Hsp70 protein","ko:K04043,ko:K04044"
"451","ACIGNDMM_00451","hscB","hscB","Co-chaperone protein HscB ","DnaJ molecular chaperone homology domain","ko:K04082,ko:K05801"
"452","ACIGNDMM_00452","erpA_1","ycf57","Iron-sulfur cluster insertion protein ErpA","Iron-sulphur cluster biosynthesis","ko:K13628"
"453","ACIGNDMM_00453","iscU","iscU","Iron-sulfur cluster assembly scaffold protein IscU","A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters","ko:K04488"
"454","ACIGNDMM_00454","iscS_1","iscS","Cysteine desulfurase IscS","Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins","ko:K04487"
"455","ACIGNDMM_00455",NA,"rrf2","Putative HTH-type transcriptional regulator","Transcriptional regulator",""
"456","ACIGNDMM_00456",NA,"","hypothetical protein","Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol",""
"457","ACIGNDMM_00457",NA,NA,"hypothetical protein",NA,NA
"458","ACIGNDMM_00458","corC","ytfL","Magnesium and cobalt efflux protein CorC","Transporter associated domain","ko:K03699,ko:K06189"
"459","ACIGNDMM_00459",NA,NA,"hypothetical protein",NA,NA
"460","ACIGNDMM_00460","aprA","aprA","Adenylylsulfate reductase subunit alpha","FAD binding domain","ko:K00394"
"461","ACIGNDMM_00461","aprB","","Adenylylsulfate reductase subunit beta","4Fe-4S dicluster domain","ko:K00395"
"462","ACIGNDMM_00462","sat","sat","Sulfate adenylyltransferase","PUA-like domain","ko:K00958,ko:K13811"
"463","ACIGNDMM_00463","xre","XK27_07105","HTH-type transcriptional regulator Xre","sequence-specific DNA binding","ko:K07729"
"464","ACIGNDMM_00464",NA,NA,"hypothetical protein",NA,NA
"465","ACIGNDMM_00465","hpnP_1","","Hopanoid C-2 methylase","SMART Elongator protein 3 MiaB NifB",""
"466","ACIGNDMM_00466","mdtD","","Putative multidrug resistance protein MdtD","Major facilitator Superfamily","ko:K03446"
"467","ACIGNDMM_00467","hsrA_1","","putative transport protein HsrA","Major facilitator Superfamily","ko:K03446"
"468","ACIGNDMM_00468",NA,NA,"tRNA-Met(cat)",NA,NA
"469","ACIGNDMM_00469","fic","","Adenosine monophosphate-protein transferase SoFic","Fic/DOC family N-terminal",""
"470","ACIGNDMM_00470",NA,"","hypothetical protein","HicB_like antitoxin of bacterial toxin-antitoxin system",""
"471","ACIGNDMM_00471",NA,NA,"hypothetical protein",NA,NA
"472","ACIGNDMM_00472","zraR_4","","Transcriptional regulatory protein ZraR","transcription factor binding","ko:K10941"
"473","ACIGNDMM_00473","cydA","cydA","Cytochrome bd-I ubiquinol oxidase subunit 1","Cytochrome bd terminal oxidase subunit I","ko:K00425"
"474","ACIGNDMM_00474","cydB","cydB","Cytochrome bd-I ubiquinol oxidase subunit 2","Cytochrome bd terminal oxidase subunit II","ko:K00426"
"475","ACIGNDMM_00475","cydX",NA,"Cytochrome bd ubiquinol oxidase subunit X",NA,NA
"476","ACIGNDMM_00476",NA,"sqr","Sulfide-quinone reductase","Pyridine nucleotide-disulphide oxidoreductase","ko:K17218"
"477","ACIGNDMM_00477",NA,"splB","hypothetical protein","Elongator protein 3, MiaB family, Radical SAM",""
"478","ACIGNDMM_00478",NA,"","hypothetical protein","",""
"479","ACIGNDMM_00479",NA,NA,"hypothetical protein",NA,NA
"480","ACIGNDMM_00480",NA,"mdtH","hypothetical protein","Major facilitator Superfamily","ko:K06610,ko:K08162"
"481","ACIGNDMM_00481",NA,NA,"hypothetical protein",NA,NA
"482","ACIGNDMM_00482","rfaF_1","","ADP-heptose--LPS heptosyltransferase 2","Glycosyltransferase family 9 (heptosyltransferase)","ko:K02843,ko:K02849"
"483","ACIGNDMM_00483","degU","","Transcriptional regulatory protein DegU","helix_turn_helix, Lux Regulon",""
"484","ACIGNDMM_00484","cusS","","Sensor kinase CusS","PhoQ Sensor",""
"485","ACIGNDMM_00485","yhdG_1","yhdG_2","putative amino acid permease YhdG","amino acid","ko:K03294"
"486","ACIGNDMM_00486",NA,NA,"hypothetical protein",NA,NA
"487","ACIGNDMM_00487",NA,"","hypothetical protein","Putative beta-barrel porin-2, OmpL-like. bbp2",""
"488","ACIGNDMM_00488","kdpC","kdpC","Potassium-transporting ATPase KdpC subunit","Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex","ko:K01548"
"489","ACIGNDMM_00489","kdpA","kdpA","Potassium-transporting ATPase potassium-binding subunit","Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane","ko:K01546"
"490","ACIGNDMM_00490","kdpB","kdpB","Potassium-transporting ATPase ATP-binding subunit","Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system","ko:K01547"
"491","ACIGNDMM_00491",NA,NA,"hypothetical protein",NA,NA
"492","ACIGNDMM_00492",NA,NA,"hypothetical protein",NA,NA
"493","ACIGNDMM_00493",NA,NA,"hypothetical protein",NA,NA
"494","ACIGNDMM_00494",NA,NA,"hypothetical protein",NA,NA
"495","ACIGNDMM_00495","kdpD_1","","Sensor protein KdpD","PhoQ Sensor",""
"496","ACIGNDMM_00496","kdpD_2","","Sensor protein KdpD","PhoQ Sensor",""
"497","ACIGNDMM_00497",NA,NA,"hypothetical protein",NA,NA
"498","ACIGNDMM_00498",NA,NA,"hypothetical protein",NA,NA
"499","ACIGNDMM_00499","garR","yfjR","2-hydroxy-3-oxopropionate reductase","phosphogluconate dehydrogenase (decarboxylating) activity","ko:K00020"
"500","ACIGNDMM_00500","bcp_2","bcp","Putative peroxiredoxin bcp","peroxiredoxin activity","ko:K03564"
"501","ACIGNDMM_00501","yfeX","dyp","putative deferrochelatase/peroxidase YfeX","iron assimilation","ko:K07223"
"502","ACIGNDMM_00502",NA,"yccU","hypothetical protein","CoA binding domain","ko:K01740,ko:K06929"
"503","ACIGNDMM_00503","glpC","glpC","Anaerobic glycerol-3-phosphate dehydrogenase subunit C","4 iron, 4 sulfur cluster binding","ko:K00113,ko:K00176,ko:K05524,ko:K13795,ko:K13796"
"504","ACIGNDMM_00504",NA,"","hypothetical protein","Protein of unknown function (DUF3501)",""
"505","ACIGNDMM_00505","iscS_2","iscS","IscS-like cysteine desulfurase","Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins","ko:K04487"
"506","ACIGNDMM_00506",NA,"nueM","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase","NmrA-like family","ko:K00329,ko:K00356"
"507","ACIGNDMM_00507",NA,"nueM","hypothetical protein","NmrA-like family","ko:K00329,ko:K00356"
"508","ACIGNDMM_00508",NA,NA,"tRNA-Leu(cag)",NA,NA
"509","ACIGNDMM_00509",NA,NA,"tRNA-Arg(tct)",NA,NA
"510","ACIGNDMM_00510",NA,NA,"hypothetical protein",NA,NA
"511","ACIGNDMM_00511",NA,"","hypothetical protein","Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins","ko:K03676,ko:K06191,ko:K07390"
"512","ACIGNDMM_00512",NA,"","hypothetical protein","Associated with various cellular activities","ko:K04748,ko:K09882"
"513","ACIGNDMM_00513",NA,NA,"hypothetical protein",NA,NA
"514","ACIGNDMM_00514",NA,"","hypothetical protein","Domain of unknown function (DUF4412)","ko:K03598"
"515","ACIGNDMM_00515","msrA","msrA","Peptide methionine sulfoxide reductase MsrA","Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine","ko:K07304"
"516","ACIGNDMM_00516",NA,NA,"hypothetical protein",NA,NA
"517","ACIGNDMM_00517",NA,"gmr","putative signaling protein","TIGRFAM diguanylate cyclase (GGDEF) domain","ko:K21023"
"518","ACIGNDMM_00518",NA,NA,"hypothetical protein",NA,NA
"519","ACIGNDMM_00519",NA,"","hypothetical protein","Proteolipid membrane potential modulator",""
"520","ACIGNDMM_00520",NA,NA,"hypothetical protein",NA,NA
"521","ACIGNDMM_00521",NA,NA,"hypothetical protein",NA,NA
"522","ACIGNDMM_00522",NA,NA,"tRNA-Lys(ttt)",NA,NA
"523","ACIGNDMM_00523",NA,"ydiK","hypothetical protein","AI-2E family transporter",""
"524","ACIGNDMM_00524","leuD1","leuD","3-isopropylmalate dehydratase small subunit 1","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","ko:K01704"
"525","ACIGNDMM_00525","leuC","leuC","3-isopropylmalate dehydratase large subunit","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","ko:K01703"
"526","ACIGNDMM_00526","rffG","rfbB","dTDP-glucose 4%2C6-dehydratase 2","Male sterility protein","ko:K01710"
"527","ACIGNDMM_00527","rfbA","rfbA","Glucose-1-phosphate thymidylyltransferase 1","Nucleotidyl transferase","ko:K00973"
"528","ACIGNDMM_00528","rfbC","","dTDP-4-dehydrorhamnose 3%2C5-epimerase","Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose","ko:K01790"
"529","ACIGNDMM_00529","proP_2","","Proline/betaine transporter","Major facilitator Superfamily","ko:K03762"
"530","ACIGNDMM_00530","esiB_1",NA,"Secretory immunoglobulin A-binding protein EsiB",NA,NA
"531","ACIGNDMM_00531",NA,"","putative signaling protein","Gaf domain","ko:K03406"
"532","ACIGNDMM_00532",NA,"sixA","hypothetical protein","Phosphoglycerate mutase family","ko:K08296"
"533","ACIGNDMM_00533","gadB","gadB","Glutamate decarboxylase","glutamate decarboxylase activity","ko:K01580"
"534","ACIGNDMM_00534","treZ","treZ","Malto-oligosyltrehalose trehalohydrolase","Alpha amylase, catalytic domain","ko:K01236"
"535","ACIGNDMM_00535","treY","treY","Maltooligosyl trehalose synthase","Alpha amylase, catalytic domain","ko:K00705,ko:K06044"
"536","ACIGNDMM_00536","treS_1","","Trehalose synthase/amylase TreS","hydrolase activity, hydrolyzing O-glycosyl compounds","ko:K05343"
"537","ACIGNDMM_00537","treS_2","treS","Trehalose synthase/amylase TreS","hydrolase activity, hydrolyzing O-glycosyl compounds","ko:K05343"
"538","ACIGNDMM_00538",NA,"","hypothetical protein","unsaturated fatty acid biosynthetic process",""
"539","ACIGNDMM_00539",NA,"","putative signaling protein","diguanylate cyclase",""
"540","ACIGNDMM_00540",NA,NA,"hypothetical protein",NA,NA
"541","ACIGNDMM_00541","pleD_1","","Response regulator PleD","Cache domain","ko:K20971"
"542","ACIGNDMM_00542",NA,NA,"hypothetical protein",NA,NA
"543","ACIGNDMM_00543","glgE1","glgE","Alpha-1%2C4-glucan:maltose-1-phosphate maltosyltransferase 1","Maltosyltransferase that uses maltose 1-phosphate (M1P) as the sugar donor to elongate linear or branched alpha-(1- 4)- glucans. Is involved in a branched alpha-glucan biosynthetic pathway from trehalose, together with TreS, Mak and GlgB","ko:K16147"
"544","ACIGNDMM_00544","mak1","treS","Maltokinase","trehalose biosynthetic process","ko:K00700,ko:K05343,ko:K16146"
"545","ACIGNDMM_00545","adhc1","","NADP-dependent alcohol dehydrogenase C 1","alcohol dehydrogenase","ko:K13953,ko:K13979"
"546","ACIGNDMM_00546",NA,NA,"hypothetical protein",NA,NA
"547","ACIGNDMM_00547",NA,NA,"hypothetical protein",NA,NA
"548","ACIGNDMM_00548",NA,"","hypothetical protein","transcription factor binding","ko:K02660"
"549","ACIGNDMM_00549",NA,"","putative signaling protein","transcription factor binding","ko:K02660"
"550","ACIGNDMM_00550",NA,"","hypothetical protein","purine nucleotide biosynthetic process","ko:K01812,ko:K02529,ko:K16210"
"551","ACIGNDMM_00551",NA,NA,"hypothetical protein",NA,NA
"552","ACIGNDMM_00552","paaF","rpfF","2%2C3-dehydroadipyl-CoA hydratase","Enoyl-CoA hydratase/isomerase","ko:K13816"
"553","ACIGNDMM_00553","rpfC_1","","Sensory/regulatory protein RpfC","His Kinase A (phosphoacceptor) domain",""
"554","ACIGNDMM_00554","rpfC_2","","Sensory/regulatory protein RpfC","His Kinase A (phosphoacceptor) domain",""
"555","ACIGNDMM_00555","rpfG_1","rpfG","Cyclic di-GMP phosphodiesterase response regulator RpfG","response regulator","ko:K07814,ko:K13815"
"556","ACIGNDMM_00556",NA,"","hypothetical protein","S-layer homology domain","ko:K20276"
"557","ACIGNDMM_00557",NA,NA,"hypothetical protein",NA,NA
"558","ACIGNDMM_00558",NA,"","hypothetical protein","6-phosphogluconolactonase activity",""
"559","ACIGNDMM_00559",NA,NA,"hypothetical protein",NA,NA
"560","ACIGNDMM_00560","bepA_3","","Beta-barrel assembly-enhancing protease","Evidence 4 Homologs of previously reported genes of",""
"561","ACIGNDMM_00561",NA,NA,"hypothetical protein",NA,NA
"562","ACIGNDMM_00562",NA,"","hypothetical protein","Methyltransferase FkbM domain",""
"563","ACIGNDMM_00563",NA,"","Putative multidrug export ATP-binding/permease protein","Evidence 2a Function of homologous gene experimentally demonstrated in an other organism","ko:K02022,ko:K06147,ko:K06148"
"564","ACIGNDMM_00564",NA,NA,"hypothetical protein",NA,NA
"565","ACIGNDMM_00565",NA,"","hypothetical protein","Methyltransferase FkbM domain",""
"566","ACIGNDMM_00566",NA,"","hypothetical protein","Glycosyl transferases group 1","ko:K20444"
"567","ACIGNDMM_00567","epsJ_1","","putative glycosyltransferase EpsJ","Glycosyltransferase like family 2",""
"568","ACIGNDMM_00568","epsE_1","","Putative glycosyltransferase EpsE","Glycosyl transferase, family 2","ko:K20444"
"569","ACIGNDMM_00569","epsJ_2","","putative glycosyltransferase EpsJ","Glycosyl transferase, family 2","ko:K20444"
"570","ACIGNDMM_00570","glfT2","glfT","Galactofuranosyltransferase GlfT2","Glycosyl transferase, family 2","ko:K16650"
"571","ACIGNDMM_00571",NA,"","hypothetical protein","bacterial-type flagellum-dependent cell motility","ko:K20951,ko:K20952"
"572","ACIGNDMM_00572",NA,"","hypothetical protein","bacterial-type flagellum-dependent cell motility","ko:K20951,ko:K20952"
"573","ACIGNDMM_00573","glrR_1","atoC","Transcriptional regulatory protein GlrR","Bacterial regulatory protein, Fis family","ko:K02481"
"574","ACIGNDMM_00574",NA,"ntpI","hypothetical protein","ATP hydrolysis coupled proton transport","ko:K02123"
